,Environment steps,Average Episode Cost
79,2080000,29.11641393159977
80,2080000,-3.90391393159977
81,2160000,28.75625
82,2160000,66.82762643603782
83,2160000,-9.315126436037815
84,2240000,57.4
85,2240000,152.89744937591468
86,2240000,-38.09744937591468
87,2320000,55.18125
88,2320000,144.53867142083516
89,2320000,-34.176171420835146
90,2400000,19.70625
91,2400000,40.106911388609824
92,2400000,-0.6944113886098218
93,2480000,12.35
94,2480000,24.59975036665274
95,2480000,0.10024963334726289
96,2560000,19.981250000000003
97,2560000,48.26100690903148
98,2560000,-8.29850690903148
99,2640000,9.387500000000001
100,2640000,27.421948630776846
101,2640000,-8.646948630776846
102,2720000,30.125
103,2720000,65.65083691181682
104,2720000,-5.400836911816819
105,2800000,53.0625
106,2800000,117.83719089515756
107,2800000,-11.712190895157562
108,2880000,28.0
109,2880000,63.62876880213203
110,2880000,-7.628768802132032
111,2960000,9.33125
112,2960000,19.124776738487288
113,2960000,-0.46227673848728834
114,3040000,8.21875
115,3040000,17.392707531674013
116,3040000,-0.9552075316740156
117,3120000,7.7875
118,3120000,17.869418473326363
119,3120000,-2.2944184733263606
120,3200000,33.231249999999996
121,3200000,68.14441373567755
122,3200000,-1.6819137356775409
123,3280000,29.49375
124,3280000,60.442533208847195
125,3280000,-1.455033208847198
126,3360000,5.89375
127,3360000,17.54750090187543
128,3360000,-5.760000901875432
129,3440000,6.19375
130,3440000,18.519512006291514
131,3440000,-6.132012006291516
132,3520000,42.39375
133,3520000,124.97405356497882
134,3520000,-40.186553564978816
135,3600000,67.3875
136,3600000,165.0199967400559
137,3600000,-30.244996740055896
138,3680000,31.025
139,3680000,56.27966857613214
140,3680000,5.770331423867861
141,3760000,8.375
142,3760000,18.99403515773837
143,3760000,-2.244035157738369
144,3840000,15.381250000000001
145,3840000,37.20968217037186
146,3840000,-6.447182170371866
147,3920000,24.0
148,3920000,56.69439431478742
149,3920000,-8.694394314787417
150,4000000,20.24375
151,4000000,40.878773713667115
152,4000000,-0.39127371366712005
153,4080000,8.712499999999999
154,4080000,16.761925902804578
155,4080000,0.6630740971954208
156,4160000,4.075
157,4160000,8.761879945502626
158,4160000,-0.6118799455026271
159,4240000,17.1375
160,4240000,29.242997029420444
161,4240000,5.032002970579554
162,4320000,15.993749999999999
163,4320000,26.724978545097084
164,4320000,5.262521454902915
165,4400000,12.95
166,4400000,25.051200385395244
167,4400000,0.8487996146047556
168,4480000,13.8125
169,4480000,26.311578514685024
170,4480000,1.3134214853149748
171,4560000,6.48125
172,4560000,12.541410235619558
173,4560000,0.421089764380441
174,4640000,17.24375
175,4640000,36.67802716939633
176,4640000,-2.1905271693963275
177,4720000,23.5
178,4720000,51.71450195514224
179,4720000,-4.714501955142234
180,4800000,12.68125
181,4800000,29.860155301413283
182,4800000,-4.497655301413278
183,4880000,14.884926470588235
184,4880000,38.782790139431654
185,4880000,-9.012937198255178
186,4960000,27.684926470588234
187,4960000,70.36067450812763
188,4960000,-14.990821566951162
189,5040000,23.11875
190,5040000,54.46973995549619
191,5040000,-8.23223995549619
192,5120000,10.66875
193,5120000,22.85555858612147
194,5120000,-1.5180585861214695
195,5200000,10.875
196,5200000,23.037829058657252
197,5200000,-1.28782905865725
198,5280000,12.73125
199,5280000,27.06418246685751
200,5280000,-1.6016824668575085
201,5360000,9.350000000000001
202,5360000,19.640328642162984
203,5360000,-0.9403286421629837
204,5440000,8.98125
205,5440000,15.206663864559182
206,5440000,2.755836135440818
207,5520000,16.75
208,5520000,34.090180549616875
209,5520000,-0.5901805496168726
210,5600000,15.41875
211,5600000,34.71827617732658
212,5600000,-3.880776177326582
213,5680000,9.39375
214,5680000,21.6099048367325
215,5680000,-2.8224048367325025
216,5760000,16.00625
217,5760000,31.733706892040843
218,5760000,0.2787931079591557
219,5840000,12.1125
220,5840000,23.7219407191146
221,5840000,0.5030592808854022
222,5920000,6.6125
223,5920000,13.096248082988836
224,5920000,0.12875191701116262
225,6000000,13.4
226,6000000,26.20647741197812
227,6000000,0.5935225880218833
228,6080000,22.9875
229,6080000,50.635358502990705
230,6080000,-4.660358502990704
231,6160000,15.9625
232,6160000,36.64080442875603
233,6160000,-4.715804428756032
234,6240000,17.01875
235,6240000,30.44723141919539
236,6240000,3.5902685808046115
